Year,Mean
edu_2001,7889324624.82611
edu_2002,8287896284.487328
edu_2003,9482500963.899189
edu_2004,10440143891.787611
edu_2005,11126247659.92415
edu_2006,12226728308.709389
edu_2007,13554876254.765812
edu_2008,14919582347.234161
edu_2009,14515951649.091799
edu_2010,16043350038.98768
edu_2011,17893158337.418896
edu_2012,17474830651.437477
edu_2013,17736072320.17849
edu_2014,18119165340.873814
edu_2015,16911431004.071619
edu_2016,16977062173.461966
edu_2017,18087630526.79254
edu_2018,19051531954.74462
edu_2019,19268162915.17312
